id,address,url,size,beds,baths,cars,price,sold_on,property_type
1,"5/68 Bellevue Terrace, St Lucia",/sold/property-unit-qld-st+lucia-137810214,, 2, 2, 3,"$435,000",19 Nov 2021,Unit
2,"6/59 Bellevue Terrace, St Lucia",/sold/property-unit-qld-st+lucia-137535850,, 2, 1, 2,"$418,000",19 Nov 2021,Unit
3,"2/59 Bellevue Terrace, St Lucia",/sold/property-unit-qld-st+lucia-137534754,, 2, 1, 2,"$415,000",18 Nov 2021,Unit
4,"2/55  Bishop Street, St Lucia",/sold/property-unit-qld-st+lucia-132088490,, 2, 1, 1,Contact agent,15 Nov 2021,Unit
5,"2/56 Bellevue Terrace, St Lucia",/sold/property-apartment-qld-st+lucia-137778462, 118, 3, 2, 2,"$1,100,000",11 Nov 2021,Apartment
6,"7/164 Macquarie Street, St Lucia",/sold/property-apartment-qld-st+lucia-137207286,, 3, 2, 1,"$753,800",10 Nov 2021,Apartment
7,"201/46 Warren Street, St Lucia",/sold/property-apartment-qld-st+lucia-136908550, 102, 2, 2, 1,Contact agent,09 Nov 2021,Apartment
8,"9/194 Carmody Road, St Lucia",/sold/property-unit-qld-st+lucia-137824998,, 3, 2,,"$630,000",08 Nov 2021,Unit
9,"50/139 Macquarie Street, St Lucia",/sold/property-unit-qld-st+lucia-137112454, 103, 2, 2, 1,"$480,000",08 Nov 2021,Unit
10,"13/136 Macquarie Street, St Lucia",/sold/property-apartment-qld-st+lucia-136806174,, 3, 1, 1,"$755,000",05 Nov 2021,Apartment
11,"1/25 Raven Street, St Lucia",/sold/property-unit-qld-st+lucia-137355614,, 3, 1, 2,"$450,000",04 Nov 2021,Unit
12,"64/139 Macquarie Street, St Lucia",/sold/property-apartment-qld-st+lucia-137123958,, 3, 2, 1,Contact agent,01 Nov 2021,Apartment
13,"7/30 Ryans Road, St Lucia",/sold/property-unit-qld-st+lucia-137191402,, 2, 1, 1,"$428,500",01 Nov 2021,Unit
14,"16/182 Carmody Road, St Lucia",/sold/property-apartment-qld-st+lucia-136386518,, 2, 2, 1,Contact agent,29 Oct 2021,Apartment
